type,name,height,base,t_w,t_f,r_1,r_2,a,a_vz,a_vy,i_y,i_z,i_t,i_w,w_el_y,w_el_z,w_pl_y,w_pl_z
TCAR,TCAR20x2,0.02,0.02,0.002,0.002,0.004,0.002,0.0001337,0.00006685,0.00006685,0.00000000692,0.00000000692,0.0000000121,0,0.000000692,0.000000692,0.000000877,0.000000877
TCAR,TCAR25x2,0.025,0.025,0.002,0.002,0.004,0.002,0.0001737,0.00008685,0.00008685,0.0000000148,0.0000000148,0.0000000253,0,0.00000119,0.00000119,0.00000147,0.00000147
TCAR,TCAR25x2.5,0.025,0.025,0.0025,0.0025,0.005,0.0025,0.0002089,0.00010445,0.00010445,0.0000000169,0.0000000169,0.0000000297,0,0.00000135,0.00000135,0.00000171,0.00000171
TCAR,TCAR25x3,0.025,0.025,0.003,0.003,0.006,0.003,0.00024082,0.00012041,0.00012041,0.0000000184,0.0000000184,0.0000000333,0,0.00000147,0.00000147,0.00000191,0.00000191
TCAR,TCAR30x2,0.03,0.03,0.002,0.002,0.004,0.002,0.0002137,0.00010685,0.00010685,0.0000000272,0.0000000272,0.0000000454,0,0.00000181,0.00000181,0.00000221,0.00000221
TCAR,TCAR30x2.5,0.03,0.03,0.0025,0.0025,0.005,0.0025,0.0002589,0.00012945,0.00012945,0.0000000316,0.0000000316,0.000000054,0,0.0000021,0.0000021,0.00000261,0.00000261
TCAR,TCAR30x3,0.03,0.03,0.003,0.003,0.006,0.003,0.00030082,0.00015041,0.00015041,0.000000035,0.000000035,0.0000000615,0,0.00000234,0.00000234,0.00000296,0.00000296
TCAR,TCAR40x2,0.04,0.04,0.002,0.002,0.004,0.002,0.0002937,0.00014685,0.00014685,0.0000000694,0.0000000694,0.000000113,0,0.00000347,0.00000347,0.00000413,0.00000413
TCAR,TCAR40x2.5,0.04,0.04,0.0025,0.0025,0.005,0.0025,0.0003589,0.00017945,0.00017945,0.0000000822,0.0000000822,0.000000136,0,0.00000411,0.00000411,0.00000497,0.00000497
TCAR,TCAR40x3,0.04,0.04,0.003,0.003,0.006,0.003,0.00042082,0.00021041,0.00021041,0.0000000932,0.0000000932,0.000000158,0,0.00000466,0.00000466,0.00000572,0.00000572
